RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
4,true,0,122,7,2,35,1,7
15,true,0,137,88,4,43,1,7
6,true,0,116,27,1,36,1,7
13,true,1,90,100,11,3,4,1
5,true,0,116,53,10,46,1,7
3,true,0,100,15,3,15,1,4
9,true,1,49,102,17,10,4,3
7,true,0,102,30,7,18,3,6
14,true,1,61,128,61,8,10,4
9,true,1,47,106,50,10,10,4
8,true,0,102,27,8,19,4,7
8,true,1,46,111,15,2,5,1
10,true,1,19,123,38,9,7,3
7,true,0,104,52,5,40,1,7
3,true,0,116,0,4,35,1,7
2,true,0,103,0,5,44,1,7
4,true,0,110,51,0,17,0,6
7,true,1,17,101,11,1,4,1
11,true,1,38,101,19,9,4,4
12,true,1,77,103,14,4,4,2
12,true,0,107,84,7,25,3,6
12,true,1,83,125,36,7,7,3
6,true,1,59,131,31,0,7,0
8,true,1,56,109,37,6,7,3
2,true,0,110,0,10,21,3,6
8,true,0,111,57,10,35,4,7
4,true,0,102,20,8,73,4,10
9,true,1,31,107,19,8,6,2
7,true,0,107,60,1,17,1,4
3,true,0,107,21,9,70,4,10
6,true,1,43,132,48,4,10,2
5,true,0,100,42,10,37,4,7
4,true,1,27,103,36,4,6,2
7,true,0,149,25,7,67,3,7
8,true,1,82,106,19,10,4,4
8,true,1,94,116,35,7,7,3
8,true,0,109,37,7,19,4,6
8,true,0,101,43,5,20,3,6
8,true,0,132,45,3,58,1,10
7,true,0,147,89,2,58,1,10
8,true,1,77,110,40,9,7,4
12,true,1,72,109,19,2,7,1
14,true,1,79,122,11,0,4,0
5,true,0,109,25,1,13,1,6
6,true,1,16,101,13,8,4,3
11,true,1,80,123,36,10,10,3
8,true,1,15,101,25,2,7,1
17,true,0,113,98,10,26,3,7
8,true,1,75,100,23,9,5,4
8,true,1,40,105,58,8,10,4
